dataset,technique,revision,avgAR,avgMov
uws,snd,0,0.400000,0.000000
uws,snd,1,0.400000,4.326293
uws,snd,2,0.400000,2.605563
uws,snd,3,0.400000,1.768583
uws,snd,4,0.400000,2.071143
uws,snd,5,0.400000,0.240865
uws,snd,6,0.333333,2.228342
uws,snd,7,0.333333,1.455286
uws,snd,8,0.357197,108.934121
uws,snd,9,0.317330,1.928151
uws,snd,10,0.316826,1.442093
uws,snd,11,0.316826,0.000000
uws,snd,12,0.332824,4.068680
uws,snd,13,0.332234,1.988151
uws,snd,14,0.353330,1.934883
uws,snd,15,0.321632,2.842256
uws,snd,16,0.314325,21.508884
uws,snd,17,0.313866,2.044856
uws,snd,18,0.312194,1.319773
uws,snd,19,0.311760,0.416600
uws,snd,20,0.309487,0.695479
uws,snd,21,0.312372,7.582783
uws,snd,22,0.314279,16.455407
uws,snd,23,0.309866,2.252198
uws,snd,24,0.309692,0.238028
uws,snd,25,0.307752,2.800626
uws,snd,26,0.304903,1.544568
uws,snd,27,0.318735,4.434927
uws,snd,28,0.318086,0.444256
uws,snd,29,0.309111,2.040056
uws,snd,30,0.306663,1.892411
uws,snd,31,0.309093,4.588714
uws,snd,32,0.301347,1.715350
uws,snd,33,0.300115,0.418317
uws,snd,34,0.299628,0.134033
uws,snd,35,0.292423,2.094864
uws,snd,36,0.292132,0.538055
uws,snd,37,0.292132,0.000000
uws,snd,38,0.292089,0.080301
uws,snd,39,0.290151,2.355664
uws,snd,40,0.292273,0.275120
uws,snd,41,0.290430,0.341475
uws,snd,42,0.290440,0.276983
uws,snd,43,0.291426,0.585512
uws,snd,44,0.290948,0.880256
uws,snd,45,0.291154,0.386590
uws,snd,46,0.290373,0.336777
uws,snd,47,0.289707,1.292931
uws,snd,48,0.289101,0.128096
uws,snd,49,0.287372,3.553017
uws,snd,50,0.294212,8.292704
uws,snd,51,0.278898,2.858823
uws,snd,52,0.276080,0.772213
uws,snd,53,0.278989,6.844295
uws,snd,54,0.294996,2.437125
uws,snd,55,0.294744,0.057839
uws,snd,56,0.294631,0.447692
uws,snd,57,0.294631,0.000000
uws,snd,58,0.290418,1.147953
uws,snd,59,0.290179,1.079866
uws,snd,60,0.289773,0.115458
uws,snd,61,0.285786,1.818309
uws,snd,62,0.278043,3.559611
uws,snd,63,0.275891,3.275296
uws,snd,64,0.274805,2.461518
uws,snd,65,0.274694,1.502942
uws,snd,66,0.275259,0.479488
uws,snd,67,0.275259,0.011655
uws,snd,68,0.274655,2.726359
uws,snd,69,0.271367,0.772443
uws,snd,70,0.271569,0.175887
uws,snd,71,0.271510,0.884012
uws,snd,72,0.271195,0.241856
uws,snd,73,0.270714,1.137949
uws,snd,74,0.270849,0.137516
uws,snd,75,0.259183,2.770580
uws,snd,76,0.258510,2.394200
uws,snd,77,0.258880,2.273147
uws,snd,78,0.247181,1.222838
uws,snd,79,0.247187,0.027285
uws,snd,80,0.246923,0.161270
uws,snd,81,0.246746,0.104715
uws,snd,82,0.246747,0.009785
uws,snd,83,0.246735,0.234274
uws,snd,84,0.218742,29.685083
uws,snd,85,0.220666,4.946369
uws,snd,86,0.226765,3.109986
uws,snd,87,0.226511,0.283188
uws,snd,88,0.226746,0.152989
uws,snd,89,0.229035,1.509829
uws,snd,90,0.226449,2.581385
uws,snd,91,0.226870,0.245968
uws,snd,92,0.226559,0.839768
uws,snd,93,0.226408,0.150808
uws,snd,94,0.224360,4.165073
uws,snd,95,0.213360,7.479240
uws,snd,96,0.212412,2.280400
uws,snd,97,0.212585,0.060997
uws,snd,98,0.212534,0.022462
uws,snd,99,0.212534,0.000000
uws,snd,100,0.219217,0.641790
uws,snd,101,0.230068,6.386234
uws,snd,102,0.227006,5.970516
uws,snd,103,0.224421,0.429177
uws,snd,104,0.225317,0.435742
uws,snd,105,0.223674,1.050261
uws,snd,106,0.222700,2.649837
uws,snd,107,0.218249,2.265443
uws,snd,108,0.220633,9.631849
uws,snd,109,0.221323,2.607443
uws,snd,110,0.220258,2.771849
uws,snd,111,0.216859,1.489273
uws,snd,112,0.216856,2.923524
uws,snd,113,0.216919,0.545249
uws,snd,114,0.216919,0.000000
uws,snd,115,0.217028,1.911891
uws,snd,116,0.214206,1.905513
uws,snd,117,0.213060,3.168322
uws,snd,118,0.211928,1.070255
uws,snd,119,0.214047,1.041046
uws,snd,120,0.209496,1.987656
uws,snd,121,0.209469,0.557424
