dataset,technique,revision,avgAR,avgMov
AudioKit-loc,sqr,0,0.771081,0.000000
AudioKit-loc,sqr,1,0.593827,23.337432
AudioKit-loc,sqr,2,0.590419,7.321422
AudioKit-loc,sqr,3,0.616610,39.576696
AudioKit-loc,sqr,4,0.576456,54.954798
AudioKit-loc,sqr,5,0.576456,0.007759
AudioKit-loc,sqr,6,0.576456,0.000000
AudioKit-loc,sqr,7,0.570659,32.505759
AudioKit-loc,sqr,8,0.575796,6.299001
AudioKit-loc,sqr,9,0.575777,8.015518
AudioKit-loc,sqr,10,0.580313,29.924061
AudioKit-loc,sqr,11,0.602330,67.401991
AudioKit-loc,sqr,12,0.615550,220.506807
AudioKit-loc,sqr,13,0.614054,25.151578
AudioKit-loc,sqr,14,0.614211,0.133332
AudioKit-loc,sqr,15,0.608472,247.388748
AudioKit-loc,sqr,16,0.599988,57.122895
AudioKit-loc,sqr,17,0.614740,75.598444
AudioKit-loc,sqr,18,0.624755,32.263773
AudioKit-loc,sqr,19,0.622409,29.514031
AudioKit-loc,sqr,20,0.626406,32.713720
AudioKit-loc,sqr,21,0.624853,0.304203
