dataset,technique,revision,nCells,avgAR,avgMov
Chart.js,sqr,0,24,0.659420,0.000000
Chart.js,sqr,1,25,0.708819,141.856963
Chart.js,sqr,2,25,0.708819,0.000000
Chart.js,sqr,3,25,0.708819,0.000000
Chart.js,sqr,4,25,0.708819,0.000000
Chart.js,sqr,5,25,0.708819,0.000000
Chart.js,sqr,6,25,0.708819,0.000000
Chart.js,sqr,7,25,0.708819,0.000000
Chart.js,sqr,8,18,0.456323,191.108854
Chart.js,sqr,9,18,0.458040,2.137889
Chart.js,sqr,10,18,0.455641,0.707703
Chart.js,sqr,11,18,0.456634,0.159692
Chart.js,sqr,12,18,0.456098,0.086103
Chart.js,sqr,13,18,0.456878,0.136359
Chart.js,sqr,14,20,0.605834,32.868064
Chart.js,sqr,15,19,0.477836,24.252102
Chart.js,sqr,16,21,0.613807,22.730673
Chart.js,sqr,17,21,0.606064,0.929858
Chart.js,sqr,18,22,0.628456,12.232150
Chart.js,sqr,19,30,0.569454,64.327027
Chart.js,sqr,20,22,0.624286,87.715321
Chart.js,sqr,21,22,0.624427,0.031635
Chart.js,sqr,22,69,0.572033,25.635047
Chart.js,sqr,23,76,0.569633,26.175081
Chart.js,sqr,24,84,0.610912,172.022822
Chart.js,sqr,25,86,0.630526,12.424365
Chart.js,sqr,26,94,0.637066,22.497141
Chart.js,sqr,27,98,0.621005,43.704396
Chart.js,sqr,28,104,0.599366,112.186753
Chart.js,sqr,29,104,0.599808,8.688827
Chart.js,sqr,30,109,0.592543,32.565884
Chart.js,sqr,31,113,0.615188,20.980190
Chart.js,sqr,32,110,0.642422,117.849590
Chart.js,sqr,33,113,0.643246,30.707300
Chart.js,sqr,34,114,0.649990,27.504739
Chart.js,sqr,35,118,0.647122,18.197177
Chart.js,sqr,36,142,0.627235,45.729121
Chart.js,sqr,37,142,0.622061,15.890708
Chart.js,sqr,38,145,0.626886,12.618271
Chart.js,sqr,39,147,0.613703,10.216713
Chart.js,sqr,40,149,0.609111,14.232452
Chart.js,sqr,41,164,0.601584,134.434529
Chart.js,sqr,42,164,0.596772,2.958236
Chart.js,sqr,43,164,0.596772,0.000000
