dataset,technique,revision,avgAR,avgMov
Hystrix-loc,sqr,0,0.758911,0.000000
Hystrix-loc,sqr,1,0.626007,107.212295
Hystrix-loc,sqr,2,0.626007,0.000000
Hystrix-loc,sqr,3,0.626007,0.000000
Hystrix-loc,sqr,4,0.626007,0.000000
Hystrix-loc,sqr,5,0.468896,14.319599
Hystrix-loc,sqr,6,0.550210,46.996325
Hystrix-loc,sqr,7,0.550499,31.181020
Hystrix-loc,sqr,8,0.570735,37.887310
Hystrix-loc,sqr,9,0.574228,4.181834
Hystrix-loc,sqr,10,0.573766,2.587057
Hystrix-loc,sqr,11,0.573066,2.640095
Hystrix-loc,sqr,12,0.573742,4.013164
Hystrix-loc,sqr,13,0.576996,10.706043
Hystrix-loc,sqr,14,0.578065,3.791581
Hystrix-loc,sqr,15,0.587390,5.273856
Hystrix-loc,sqr,16,0.586889,0.314705
Hystrix-loc,sqr,17,0.605708,8.765404
Hystrix-loc,sqr,18,0.586885,9.181326
Hystrix-loc,sqr,19,0.575931,84.798468
Hystrix-loc,sqr,20,0.584313,113.300932
Hystrix-loc,sqr,21,0.581213,8.467366
Hystrix-loc,sqr,22,0.579879,2.086191
Hystrix-loc,sqr,23,0.579879,0.000000
Hystrix-loc,sqr,24,0.579925,0.037039
Hystrix-loc,sqr,25,0.599367,10.521953
Hystrix-loc,sqr,26,0.592482,49.997491
Hystrix-loc,sqr,27,0.593137,0.858683
Hystrix-loc,sqr,28,0.601531,4.519310
Hystrix-loc,sqr,29,0.589348,31.736124
Hystrix-loc,sqr,30,0.576169,20.371393
Hystrix-loc,sqr,31,0.579700,28.908745
Hystrix-loc,sqr,32,0.581789,3.975389
Hystrix-loc,sqr,33,0.566319,14.729028
Hystrix-loc,sqr,34,0.569370,2.305554
Hystrix-loc,sqr,35,0.569114,0.360849
Hystrix-loc,sqr,36,0.569547,2.943894
Hystrix-loc,sqr,37,0.576565,8.183423
Hystrix-loc,sqr,38,0.581635,4.980658
Hystrix-loc,sqr,39,0.568724,29.672116
Hystrix-loc,sqr,40,0.568471,13.975133
Hystrix-loc,sqr,41,0.577558,22.037488
Hystrix-loc,sqr,42,0.583618,43.099743
Hystrix-loc,sqr,43,0.587054,21.376387
Hystrix-loc,sqr,44,0.587086,0.054770
Hystrix-loc,sqr,45,0.587086,0.000000
Hystrix-loc,sqr,46,0.586104,7.429320
Hystrix-loc,sqr,47,0.576513,2.381622
Hystrix-loc,sqr,48,0.576855,30.544581
Hystrix-loc,sqr,49,0.584148,34.942503
Hystrix-loc,sqr,50,0.575072,42.377000
Hystrix-loc,sqr,51,0.578805,21.127418
Hystrix-loc,sqr,52,0.577896,15.373440
Hystrix-loc,sqr,53,0.581282,4.238599
Hystrix-loc,sqr,54,0.581294,0.016576
Hystrix-loc,sqr,55,0.582416,9.817260
Hystrix-loc,sqr,56,0.581204,0.627106
Hystrix-loc,sqr,57,0.581204,0.000000
Hystrix-loc,sqr,58,0.581053,16.709921
Hystrix-loc,sqr,59,0.581234,0.564732
Hystrix-loc,sqr,60,0.581256,0.415052
