dataset,technique,revision,nCells,avgAR,avgMov
Leaflet,sqr,0,76,0.610497,0.000000
Leaflet,sqr,1,76,0.610738,0.041269
Leaflet,sqr,2,82,0.623924,24.528959
Leaflet,sqr,3,85,0.622912,29.764784
Leaflet,sqr,4,93,0.611389,29.467417
Leaflet,sqr,5,122,0.622560,91.950979
Leaflet,sqr,6,146,0.637391,72.039080
Leaflet,sqr,7,130,0.620417,143.934768
Leaflet,sqr,8,172,0.626164,146.498878
Leaflet,sqr,9,144,0.617803,170.009989
Leaflet,sqr,10,172,0.625495,142.473943
Leaflet,sqr,11,149,0.607534,160.528473
Leaflet,sqr,12,151,0.610171,11.866484
Leaflet,sqr,13,152,0.602302,6.847868
Leaflet,sqr,14,152,0.607512,4.256579
Leaflet,sqr,15,192,0.615521,163.170242
Leaflet,sqr,16,157,0.601587,75.799734
Leaflet,sqr,17,157,0.601557,0.174200
Leaflet,sqr,18,158,0.613540,199.186109
Leaflet,sqr,19,161,0.631141,9.911131
Leaflet,sqr,20,162,0.626835,5.118806
Leaflet,sqr,21,162,0.624202,14.714148
Leaflet,sqr,22,164,0.627094,21.313358
Leaflet,sqr,23,197,0.611216,85.938492
Leaflet,sqr,24,170,0.606350,83.167107
Leaflet,sqr,25,171,0.613979,3.315394
Leaflet,sqr,26,201,0.606981,73.376952
Leaflet,sqr,27,178,0.624373,81.295873
Leaflet,sqr,28,207,0.610692,70.156816
Leaflet,sqr,29,185,0.618257,75.519104
Leaflet,sqr,30,197,0.612095,30.319214
Leaflet,sqr,31,212,0.610872,75.450199
Leaflet,sqr,32,194,0.613855,95.690432
Leaflet,sqr,33,197,0.618951,2.434832
Leaflet,sqr,34,232,0.607721,91.910963
Leaflet,sqr,35,201,0.615099,185.162709
Leaflet,sqr,36,201,0.615236,0.064578
Leaflet,sqr,37,201,0.615099,0.064578
Leaflet,sqr,38,204,0.609742,7.376528
Leaflet,sqr,39,205,0.607710,2.250503
Leaflet,sqr,40,205,0.609559,1.415186
Leaflet,sqr,41,207,0.608390,7.475587
Leaflet,sqr,42,203,0.622600,23.910514
Leaflet,sqr,43,239,0.597513,152.041570
Leaflet,sqr,44,204,0.627720,164.217031
Leaflet,sqr,45,206,0.637764,5.298191
Leaflet,sqr,46,206,0.637491,0.234777
Leaflet,sqr,47,206,0.637524,0.136745
Leaflet,sqr,48,206,0.637644,0.108457
Leaflet,sqr,49,206,0.637577,1.642875
Leaflet,sqr,50,239,0.597462,139.069314
Leaflet,sqr,51,207,0.640821,160.877052
Leaflet,sqr,52,239,0.597480,139.166997
Leaflet,sqr,53,210,0.624843,158.537849
Leaflet,sqr,54,211,0.624814,2.432007
Leaflet,sqr,55,239,0.597489,138.705201
Leaflet,sqr,56,209,0.627004,157.381632
Leaflet,sqr,57,239,0.597485,137.316904
Leaflet,sqr,58,239,0.597485,0.000000
Leaflet,sqr,59,239,0.597220,0.166836
Leaflet,sqr,60,243,0.606061,16.867354
Leaflet,sqr,61,218,0.619945,150.793814
Leaflet,sqr,62,218,0.620418,0.798270
Leaflet,sqr,63,218,0.620700,0.915983
Leaflet,sqr,64,219,0.620216,2.588918
Leaflet,sqr,65,217,0.621197,5.762499
Leaflet,sqr,66,219,0.621339,6.563457
Leaflet,sqr,67,30,0.505602,215.064625
Leaflet,sqr,68,224,0.612634,33.041926
Leaflet,sqr,69,227,0.614535,12.648502
Leaflet,sqr,70,234,0.631962,33.593790
Leaflet,sqr,71,228,0.629402,16.678157
Leaflet,sqr,72,229,0.629899,5.570830
Leaflet,sqr,73,237,0.632037,20.250001
Leaflet,sqr,74,273,0.608934,165.965565
Leaflet,sqr,75,263,0.603007,7.038114
Leaflet,sqr,76,263,0.601742,0.268209
Leaflet,sqr,77,266,0.582392,64.092605
Leaflet,sqr,78,266,0.582213,0.137331
Leaflet,sqr,79,269,0.590910,44.963488
Leaflet,sqr,80,281,0.571848,6.790359
Leaflet,sqr,81,281,0.574475,5.750624
Leaflet,sqr,82,285,0.574243,14.707656
Leaflet,sqr,83,286,0.572337,3.183896
