dataset,technique,revision,nCells,avgAR,avgMov
beets,sqr,0,8,0.551533,0.000000
beets,sqr,1,10,0.557765,20.875429
beets,sqr,2,12,0.530500,63.067602
beets,sqr,3,12,0.532307,4.514976
beets,sqr,4,13,0.527307,35.312765
beets,sqr,5,15,0.550451,31.477270
beets,sqr,6,15,0.549424,2.224035
beets,sqr,7,20,0.485462,14.998332
beets,sqr,8,20,0.486147,0.844523
beets,sqr,9,20,0.513444,16.029310
beets,sqr,10,20,0.521995,1.876525
beets,sqr,11,21,0.484810,12.273043
beets,sqr,12,22,0.475048,20.599906
beets,sqr,13,23,0.494566,11.252969
beets,sqr,14,36,0.514559,63.664739
beets,sqr,15,36,0.526753,24.257310
beets,sqr,16,38,0.557441,14.369346
beets,sqr,17,38,0.557404,0.218814
beets,sqr,18,38,0.550316,0.793004
beets,sqr,19,38,0.558847,25.320080
beets,sqr,20,38,0.563659,3.355169
beets,sqr,21,38,0.482022,215.615076
beets,sqr,22,46,0.600378,173.930034
beets,sqr,23,47,0.609478,19.802548
beets,sqr,24,47,0.610074,38.047571
beets,sqr,25,47,0.608284,1.015310
beets,sqr,26,47,0.608454,0.442381
beets,sqr,27,47,0.591711,19.015715
beets,sqr,28,57,0.516635,182.262961
beets,sqr,29,61,0.526703,8.761132
beets,sqr,30,62,0.532765,0.812004
beets,sqr,31,67,0.541876,190.147523
beets,sqr,32,69,0.546076,9.335717
beets,sqr,33,69,0.513671,239.892494
beets,sqr,34,72,0.483612,15.491959
beets,sqr,35,72,0.477169,21.330179
beets,sqr,36,72,0.479852,2.498440
beets,sqr,37,76,0.477232,11.860615
beets,sqr,38,77,0.502391,12.741953
beets,sqr,39,77,0.506890,21.939959
beets,sqr,40,77,0.501856,49.068517
beets,sqr,41,77,0.501314,0.336029
beets,sqr,42,79,0.496755,24.135002
beets,sqr,43,82,0.497993,24.461199
beets,sqr,44,86,0.486263,48.167742
beets,sqr,45,86,0.484264,0.847913
beets,sqr,46,90,0.494430,35.381815
beets,sqr,47,91,0.514429,7.011069
beets,sqr,48,91,0.520313,15.065964
beets,sqr,49,92,0.489990,23.796290
beets,sqr,50,92,0.487761,2.811881
beets,sqr,51,95,0.537295,39.393381
beets,sqr,52,96,0.536382,12.559948
beets,sqr,53,96,0.536360,0.010300
beets,sqr,54,96,0.537089,0.473875
beets,sqr,55,98,0.548616,7.549640
beets,sqr,56,102,0.518909,27.288357
beets,sqr,57,100,0.526873,3.473351
beets,sqr,58,100,0.526661,0.747677
beets,sqr,59,110,0.539971,28.577393
beets,sqr,60,113,0.541286,15.171653
beets,sqr,61,116,0.531477,25.190739
beets,sqr,62,126,0.481047,73.591659
beets,sqr,63,137,0.509630,10.804225
beets,sqr,64,138,0.504623,3.848937
beets,sqr,65,139,0.525547,27.423889
beets,sqr,66,143,0.521710,29.658425
beets,sqr,67,146,0.522404,56.162807
beets,sqr,68,147,0.522146,55.653984
beets,sqr,69,150,0.504054,10.616408
beets,sqr,70,151,0.500050,15.345012
beets,sqr,71,154,0.486495,43.892207
beets,sqr,72,155,0.497185,8.139966
beets,sqr,73,157,0.505443,7.889684
beets,sqr,74,165,0.502141,18.973520
beets,sqr,75,161,0.513016,19.383229
beets,sqr,76,169,0.499945,47.512738
beets,sqr,77,169,0.498521,0.335813
beets,sqr,78,171,0.506662,9.329804
beets,sqr,79,171,0.506662,0.000000
beets,sqr,80,171,0.506730,0.008133
beets,sqr,81,171,0.506662,0.008133
beets,sqr,82,172,0.505879,1.419480
beets,sqr,83,174,0.507719,1.386363
beets,sqr,84,174,0.506940,0.610217
beets,sqr,85,176,0.508829,61.356629
beets,sqr,86,180,0.515625,34.638837
beets,sqr,87,182,0.509775,19.126592
beets,sqr,88,182,0.509360,0.350676
beets,sqr,89,182,0.509360,0.000000
beets,sqr,90,182,0.512199,11.137119
beets,sqr,91,182,0.512337,0.433011
beets,sqr,92,186,0.516848,31.139221
beets,sqr,93,187,0.511526,38.191661
beets,sqr,94,188,0.524353,23.116707
beets,sqr,95,188,0.516233,13.721830
beets,sqr,96,188,0.518682,11.126029
beets,sqr,97,188,0.518216,0.307445
beets,sqr,98,189,0.521667,18.390549
beets,sqr,99,191,0.516298,12.071615
beets,sqr,100,192,0.515945,5.919714
beets,sqr,101,192,0.518997,1.968591
beets,sqr,102,193,0.516542,1.938606
beets,sqr,103,194,0.512129,4.367565
beets,sqr,104,194,0.510941,0.294382
beets,sqr,105,194,0.511153,0.183665
