dataset,technique,revision,nCells,avgAR,avgMov
bootstrap,sqr,0,27,0.678009,0.000000
bootstrap,sqr,1,31,0.572095,11.935559
bootstrap,sqr,2,25,0.612641,238.913038
bootstrap,sqr,3,25,0.596320,31.897299
bootstrap,sqr,4,28,0.595251,234.356423
bootstrap,sqr,5,50,0.556442,98.916708
bootstrap,sqr,6,52,0.569817,15.468812
bootstrap,sqr,7,67,0.576708,37.628815
bootstrap,sqr,8,74,0.611247,141.676791
bootstrap,sqr,9,144,0.539795,42.695521
bootstrap,sqr,10,142,0.534829,12.903949
bootstrap,sqr,11,151,0.533584,51.112996
bootstrap,sqr,12,157,0.528021,48.753046
bootstrap,sqr,13,159,0.520800,5.363554
bootstrap,sqr,14,159,0.521384,126.623211
bootstrap,sqr,15,162,0.519939,15.035827
bootstrap,sqr,16,161,0.520194,13.879150
bootstrap,sqr,17,7,0.729839,0.000000
bootstrap,sqr,18,173,0.523568,62.254117
bootstrap,sqr,19,161,0.520357,66.754892
bootstrap,sqr,20,170,0.525684,18.440310
bootstrap,sqr,21,170,0.521556,51.648081
bootstrap,sqr,22,169,0.523464,24.685472
bootstrap,sqr,23,10,0.814047,23.344433
bootstrap,sqr,24,122,0.532465,63.285226
bootstrap,sqr,25,120,0.564577,44.039283
bootstrap,sqr,26,122,0.560829,7.427596
bootstrap,sqr,27,129,0.581008,49.121068
bootstrap,sqr,28,129,0.566701,58.683426
bootstrap,sqr,29,128,0.580659,68.973305
bootstrap,sqr,30,117,0.570767,45.706611
bootstrap,sqr,31,117,0.569090,11.604117
bootstrap,sqr,32,117,0.568985,0.028294
bootstrap,sqr,33,170,0.549285,43.612750
bootstrap,sqr,34,170,0.549244,0.040147
bootstrap,sqr,35,170,0.549285,0.041990
bootstrap,sqr,36,170,0.545279,38.016892
bootstrap,sqr,37,171,0.552136,14.148524
bootstrap,sqr,38,171,0.551115,1.086493
bootstrap,sqr,39,129,0.581012,43.281545
bootstrap,sqr,40,186,0.553826,39.136894
bootstrap,sqr,41,191,0.556076,25.448133
bootstrap,sqr,42,200,0.555101,35.804867
bootstrap,sqr,43,202,0.557646,1.023046
bootstrap,sqr,44,205,0.560159,33.494285
bootstrap,sqr,45,311,0.556679,51.714868
bootstrap,sqr,46,316,0.553257,8.611248
bootstrap,sqr,47,312,0.548330,109.653485
bootstrap,sqr,48,321,0.553797,18.474813
bootstrap,sqr,49,317,0.547301,74.832985
bootstrap,sqr,50,317,0.547527,3.519787
bootstrap,sqr,51,318,0.545555,3.942537
bootstrap,sqr,52,320,0.558846,28.005704
bootstrap,sqr,53,247,0.545118,80.930940
bootstrap,sqr,54,245,0.568103,71.821595
bootstrap,sqr,55,333,0.544826,94.134687
bootstrap,sqr,56,331,0.528476,35.371747
bootstrap,sqr,57,328,0.531261,29.614153
bootstrap,sqr,58,335,0.531202,31.744845
bootstrap,sqr,59,243,0.562032,108.873887
bootstrap,sqr,60,258,0.580817,61.823551
bootstrap,sqr,61,279,0.587079,20.744555
bootstrap,sqr,62,335,0.523350,73.475644
bootstrap,sqr,63,328,0.519713,39.565094
bootstrap,sqr,64,285,0.584824,66.740949
bootstrap,sqr,65,282,0.590992,6.693872
bootstrap,sqr,66,282,0.590992,0.000000
bootstrap,sqr,67,282,0.590992,0.000000
bootstrap,sqr,68,293,0.583281,99.729329
bootstrap,sqr,69,285,0.588401,100.613779
bootstrap,sqr,70,285,0.588453,0.044480
bootstrap,sqr,71,285,0.588401,0.044480
bootstrap,sqr,72,285,0.588401,0.000000
bootstrap,sqr,73,285,0.588401,0.000000
bootstrap,sqr,74,296,0.589391,6.269187
bootstrap,sqr,75,296,0.585223,13.576626
bootstrap,sqr,76,295,0.585351,16.236256
bootstrap,sqr,77,295,0.587520,7.390148
bootstrap,sqr,78,296,0.587358,0.514756
bootstrap,sqr,79,296,0.587968,2.427008
bootstrap,sqr,80,283,0.590497,31.872661
bootstrap,sqr,81,286,0.588224,34.701553
bootstrap,sqr,82,286,0.587446,2.093529
bootstrap,sqr,83,287,0.588010,4.739418
bootstrap,sqr,84,296,0.561768,50.401991
bootstrap,sqr,85,297,0.557776,2.631356
bootstrap,sqr,86,290,0.561983,51.315225
bootstrap,sqr,87,288,0.561072,17.743078
bootstrap,sqr,88,288,0.562399,6.383998
bootstrap,sqr,89,289,0.551771,52.069371
bootstrap,sqr,90,288,0.545416,18.560511
bootstrap,sqr,91,288,0.545416,0.000000
