dataset,technique,revision,avgAR,avgMov
caffe-loc,sqr,0,0.728928,0.000000
caffe-loc,sqr,1,0.683573,151.731110
caffe-loc,sqr,2,0.686675,32.144561
caffe-loc,sqr,3,0.679123,10.718689
caffe-loc,sqr,4,0.682684,7.191250
caffe-loc,sqr,5,0.617214,45.298494
caffe-loc,sqr,6,0.617803,37.738503
caffe-loc,sqr,7,0.615450,30.080825
caffe-loc,sqr,8,0.605340,27.998489
caffe-loc,sqr,9,0.607240,18.258700
caffe-loc,sqr,10,0.600067,35.838539
caffe-loc,sqr,11,0.592069,35.057163
caffe-loc,sqr,12,0.593473,40.815806
caffe-loc,sqr,13,0.586836,12.925528
caffe-loc,sqr,14,0.577454,33.805411
caffe-loc,sqr,15,0.578758,16.608888
caffe-loc,sqr,16,0.597411,29.022953
caffe-loc,sqr,17,0.599369,31.457453
caffe-loc,sqr,18,0.584517,27.278755
caffe-loc,sqr,19,0.584631,0.043539
caffe-loc,sqr,20,0.587410,27.920713
caffe-loc,sqr,21,0.586181,28.412107
caffe-loc,sqr,22,0.588263,5.866190
caffe-loc,sqr,23,0.586038,29.850786
caffe-loc,sqr,24,0.586043,13.519514
caffe-loc,sqr,25,0.594033,24.782396
caffe-loc,sqr,26,0.591123,0.976141
caffe-loc,sqr,27,0.621226,25.895390
caffe-loc,sqr,28,0.629053,18.501249
caffe-loc,sqr,29,0.626590,21.772967
caffe-loc,sqr,30,0.621130,12.521085
caffe-loc,sqr,31,0.619435,1.729693
caffe-loc,sqr,32,0.616269,2.494819
caffe-loc,sqr,33,0.611736,23.760210
caffe-loc,sqr,34,0.614149,4.157953
caffe-loc,sqr,35,0.613890,0.226887
caffe-loc,sqr,36,0.614222,0.373601
caffe-loc,sqr,37,0.614246,0.009587
caffe-loc,sqr,38,0.613565,0.246151
caffe-loc,sqr,39,0.613860,0.068033
caffe-loc,sqr,40,0.614373,13.834514
caffe-loc,sqr,41,0.614414,2.397418
caffe-loc,sqr,42,0.612961,0.242203
caffe-loc,sqr,43,0.610550,4.211098
