dataset,technique,revision,avgAR,avgMov
earthdata-search-loc,sqr,0,0.677354,0.000000
earthdata-search-loc,sqr,1,0.560960,135.404452
earthdata-search-loc,sqr,2,0.560960,0.000000
earthdata-search-loc,sqr,3,0.521127,132.834802
earthdata-search-loc,sqr,4,0.519711,55.343968
earthdata-search-loc,sqr,5,0.541254,76.146357
earthdata-search-loc,sqr,6,0.527518,64.557447
earthdata-search-loc,sqr,7,0.524833,49.609167
earthdata-search-loc,sqr,8,0.517226,39.151215
earthdata-search-loc,sqr,9,0.523750,32.160987
earthdata-search-loc,sqr,10,0.537694,19.272493
earthdata-search-loc,sqr,11,0.549282,13.379928
earthdata-search-loc,sqr,12,0.536582,17.428405
earthdata-search-loc,sqr,13,0.544058,28.276999
earthdata-search-loc,sqr,14,0.544463,17.419600
earthdata-search-loc,sqr,15,0.550443,4.875486
earthdata-search-loc,sqr,16,0.548515,0.862670
earthdata-search-loc,sqr,17,0.541326,6.265997
earthdata-search-loc,sqr,18,0.540732,2.185701
earthdata-search-loc,sqr,19,0.541451,4.891447
earthdata-search-loc,sqr,20,0.541220,2.723640
earthdata-search-loc,sqr,21,0.541482,8.567304
earthdata-search-loc,sqr,22,0.543750,2.923980
earthdata-search-loc,sqr,23,0.543300,33.204411
earthdata-search-loc,sqr,24,0.565207,122.322323
earthdata-search-loc,sqr,25,0.557201,13.517419
earthdata-search-loc,sqr,26,0.530253,52.295640
earthdata-search-loc,sqr,27,0.536058,18.988996
earthdata-search-loc,sqr,28,0.535821,1.059907
earthdata-search-loc,sqr,29,0.531259,11.786209
earthdata-search-loc,sqr,30,0.534856,7.236788
earthdata-search-loc,sqr,31,0.533840,13.428575
earthdata-search-loc,sqr,32,0.559691,77.991603
earthdata-search-loc,sqr,33,0.560668,14.000427
earthdata-search-loc,sqr,34,0.557451,10.901773
earthdata-search-loc,sqr,35,0.554874,20.639969
earthdata-search-loc,sqr,36,0.541729,50.572821
earthdata-search-loc,sqr,37,0.536789,3.919407
earthdata-search-loc,sqr,38,0.539174,6.959634
earthdata-search-loc,sqr,39,0.538936,2.275953
earthdata-search-loc,sqr,40,0.536834,11.444454
earthdata-search-loc,sqr,41,0.533988,0.806857
earthdata-search-loc,sqr,42,0.540916,2.912491
earthdata-search-loc,sqr,43,0.533639,7.798628
earthdata-search-loc,sqr,44,0.535652,219.797022
earthdata-search-loc,sqr,45,0.535848,1.484441
