dataset,technique,revision,nCells,avgAR,avgMov
earthdata-search,sqr,0,28,0.677354,0.000000
earthdata-search,sqr,1,40,0.560960,135.404452
earthdata-search,sqr,2,40,0.560960,0.000000
earthdata-search,sqr,3,70,0.521127,132.834802
earthdata-search,sqr,4,116,0.519711,55.343968
earthdata-search,sqr,5,191,0.541254,76.146357
earthdata-search,sqr,6,216,0.527518,64.557447
earthdata-search,sqr,7,256,0.524833,49.609167
earthdata-search,sqr,8,285,0.517226,39.151215
earthdata-search,sqr,9,304,0.523750,32.160987
earthdata-search,sqr,10,323,0.537694,19.272493
earthdata-search,sqr,11,337,0.549282,13.379928
earthdata-search,sqr,12,340,0.536582,17.428405
earthdata-search,sqr,13,349,0.544058,28.276999
earthdata-search,sqr,14,350,0.544463,17.419600
earthdata-search,sqr,15,349,0.550443,4.875486
earthdata-search,sqr,16,350,0.548515,0.862670
earthdata-search,sqr,17,356,0.541326,6.265997
earthdata-search,sqr,18,363,0.540732,2.185701
earthdata-search,sqr,19,368,0.541451,4.891447
earthdata-search,sqr,20,371,0.541220,2.723640
earthdata-search,sqr,21,373,0.541482,8.567304
earthdata-search,sqr,22,374,0.543750,2.923980
earthdata-search,sqr,23,375,0.543300,33.204411
earthdata-search,sqr,24,645,0.565207,122.322323
earthdata-search,sqr,25,646,0.557201,13.517419
earthdata-search,sqr,26,671,0.530253,52.295640
earthdata-search,sqr,27,684,0.536058,18.988996
earthdata-search,sqr,28,684,0.535821,1.059907
earthdata-search,sqr,29,700,0.531259,11.786209
earthdata-search,sqr,30,709,0.534856,7.236788
earthdata-search,sqr,31,719,0.533840,13.428575
earthdata-search,sqr,32,725,0.559691,77.991603
earthdata-search,sqr,33,750,0.560668,14.000427
earthdata-search,sqr,34,753,0.557451,10.901773
earthdata-search,sqr,35,746,0.554874,20.639969
earthdata-search,sqr,36,747,0.541729,50.572821
earthdata-search,sqr,37,747,0.536789,3.919407
earthdata-search,sqr,38,749,0.539174,6.959634
earthdata-search,sqr,39,752,0.538936,2.275953
earthdata-search,sqr,40,752,0.536834,11.444454
earthdata-search,sqr,41,752,0.533988,0.806857
earthdata-search,sqr,42,756,0.540916,2.912491
earthdata-search,sqr,43,748,0.533639,7.798628
earthdata-search,sqr,44,748,0.535652,219.797022
earthdata-search,sqr,45,751,0.535848,1.484441
