dataset,technique,revision,nCells,avgAR,avgMov
emcee,sqr,0,7,0.697908,0.000000
emcee,sqr,1,8,0.635354,62.472697
emcee,sqr,2,14,0.653832,89.648578
emcee,sqr,3,13,0.680283,25.843630
emcee,sqr,4,13,0.677787,0.809613
emcee,sqr,5,13,0.680485,0.884032
emcee,sqr,6,10,0.572814,77.175021
emcee,sqr,7,10,0.572814,0.000000
emcee,sqr,8,11,0.662023,19.976302
emcee,sqr,9,12,0.754650,19.370999
emcee,sqr,10,19,0.393363,185.309300
emcee,sqr,11,22,0.431053,24.267962
emcee,sqr,12,21,0.553037,184.407406
emcee,sqr,13,19,0.495644,11.430661
emcee,sqr,14,40,0.502465,37.273498
emcee,sqr,15,40,0.502397,0.137774
emcee,sqr,16,41,0.513058,95.109609
emcee,sqr,17,42,0.501044,14.335326
emcee,sqr,18,42,0.502926,0.364740
emcee,sqr,19,35,0.553809,101.931706
emcee,sqr,20,35,0.545529,1.250931
emcee,sqr,21,35,0.545529,0.000000
emcee,sqr,22,36,0.538489,38.597428
emcee,sqr,23,37,0.529510,11.964619
emcee,sqr,24,37,0.529510,0.000000
emcee,sqr,25,37,0.524689,3.956485
emcee,sqr,26,37,0.514106,1.462510
emcee,sqr,27,38,0.498805,13.091407
emcee,sqr,28,38,0.498094,0.274833
emcee,sqr,29,38,0.498263,1.508579
emcee,sqr,30,38,0.498094,1.508579
emcee,sqr,31,38,0.499111,2.716261
emcee,sqr,32,38,0.500937,1.777036
emcee,sqr,33,38,0.500937,0.000000
emcee,sqr,34,38,0.500057,1.098758
emcee,sqr,35,39,0.519757,141.167253
emcee,sqr,36,39,0.518533,0.480973
emcee,sqr,37,40,0.513320,9.520765
emcee,sqr,38,43,0.545711,18.208942
emcee,sqr,39,43,0.544978,0.185447
emcee,sqr,40,43,0.545711,0.185447
emcee,sqr,41,44,0.539538,4.079540
emcee,sqr,42,44,0.540638,0.868554
emcee,sqr,43,44,0.539188,1.093717
emcee,sqr,44,44,0.539188,0.000000
emcee,sqr,45,44,0.539188,0.000000
emcee,sqr,46,44,0.539188,0.000000
emcee,sqr,47,44,0.540161,1.040142
emcee,sqr,48,44,0.538589,1.106020
emcee,sqr,49,44,0.538615,0.276338
emcee,sqr,50,44,0.539188,0.335567
emcee,sqr,51,44,0.539188,0.000000
emcee,sqr,52,44,0.539188,0.000000
emcee,sqr,53,44,0.539188,0.000000
emcee,sqr,54,44,0.539870,1.484947
emcee,sqr,55,44,0.543345,0.797682
emcee,sqr,56,44,0.542139,0.988932
emcee,sqr,57,44,0.542139,0.000000
emcee,sqr,58,44,0.542139,0.000000
emcee,sqr,59,44,0.541180,0.195192
emcee,sqr,60,45,0.532780,2.057082
emcee,sqr,61,45,0.532460,0.455626
emcee,sqr,62,45,0.532615,0.158164
emcee,sqr,63,45,0.532615,0.000000
