dataset,technique,revision,avgAR,avgMov
hiv,sqr,0,0.818909,0.000000
hiv,sqr,1,0.783133,11.800415
hiv,sqr,2,0.707763,31.448207
hiv,sqr,3,0.694318,15.526979
hiv,sqr,4,0.674496,32.121950
hiv,sqr,5,0.620019,44.215911
hiv,sqr,6,0.591956,22.208821
hiv,sqr,7,0.553697,41.727734
hiv,sqr,8,0.550302,75.604041
hiv,sqr,9,0.532016,21.973369
hiv,sqr,10,0.511931,28.929213
hiv,sqr,11,0.493285,22.558005
hiv,sqr,12,0.491346,32.571727
hiv,sqr,13,0.473900,29.681693
hiv,sqr,14,0.478198,9.731764
hiv,sqr,15,0.473241,56.129588
hiv,sqr,16,0.463825,84.521663
hiv,sqr,17,0.453552,76.278486
hiv,sqr,18,0.457914,21.264643
hiv,sqr,19,0.474282,93.386098
hiv,sqr,20,0.489335,66.385163
hiv,sqr,21,0.493266,20.491655
hiv,sqr,22,0.466791,93.688154
hiv,sqr,23,0.480401,110.881930
hiv,sqr,24,0.476774,33.748081
