dataset,technique,revision,nCells,avgAR,avgMov
iina,sqr,0,25,0.651204,0.000000
iina,sqr,1,35,0.660825,40.641012
iina,sqr,2,39,0.628611,46.435226
iina,sqr,3,59,0.579962,146.234900
iina,sqr,4,59,0.585327,37.845849
iina,sqr,5,65,0.616701,15.604011
iina,sqr,6,73,0.612875,49.497558
iina,sqr,7,76,0.589763,125.946002
iina,sqr,8,77,0.565307,38.028019
iina,sqr,9,79,0.542108,55.232566
iina,sqr,10,80,0.561770,53.679478
iina,sqr,11,83,0.554981,37.549516
iina,sqr,12,87,0.558351,43.025953
iina,sqr,13,103,0.602669,41.232941
iina,sqr,14,110,0.558933,80.634301
iina,sqr,15,111,0.572715,4.644714
iina,sqr,16,108,0.625185,0.680182
iina,sqr,17,117,0.604124,278.097368
iina,sqr,18,121,0.640418,92.132451
iina,sqr,19,124,0.648536,47.087022
iina,sqr,20,131,0.628173,26.318972
iina,sqr,21,131,0.673495,11.921098
iina,sqr,22,132,0.630995,4.816599
iina,sqr,23,132,0.668784,12.151070
iina,sqr,24,133,0.666448,1.628586
iina,sqr,25,134,0.667951,3.437789
iina,sqr,26,134,0.669110,0.758263
iina,sqr,27,134,0.670946,1.401891
iina,sqr,28,134,0.627813,10.919811
iina,sqr,29,134,0.668602,11.558812
iina,sqr,30,134,0.670422,0.400185
iina,sqr,31,134,0.669721,2.106525
iina,sqr,32,134,0.629272,12.583022
iina,sqr,33,134,0.629227,0.015130
iina,sqr,34,136,0.631032,22.658668
iina,sqr,35,134,0.669055,34.268278
iina,sqr,36,139,0.627454,88.374920
iina,sqr,37,139,0.626910,0.065495
iina,sqr,38,139,0.627714,0.129782
iina,sqr,39,141,0.634085,5.474220
iina,sqr,40,121,0.611336,95.044198
iina,sqr,41,120,0.587590,10.526069
iina,sqr,42,125,0.590427,45.670116
iina,sqr,43,127,0.591108,1.651872
iina,sqr,44,127,0.591149,0.270457
iina,sqr,45,127,0.591215,0.231797
iina,sqr,46,127,0.591217,0.010383
iina,sqr,47,133,0.666058,47.607580
iina,sqr,48,127,0.591216,47.973845
iina,sqr,49,127,0.591216,0.000000
iina,sqr,50,127,0.591216,0.000000
iina,sqr,51,129,0.602157,11.870882
iina,sqr,52,129,0.602157,0.000000
iina,sqr,53,127,0.608667,103.785160
iina,sqr,54,128,0.614043,52.121267
iina,sqr,55,129,0.631270,11.184911
iina,sqr,56,129,0.626717,30.507715
iina,sqr,57,130,0.627456,31.231769
iina,sqr,58,130,0.627456,0.000000
iina,sqr,59,131,0.620348,22.849252
iina,sqr,60,137,0.603192,32.349453
iina,sqr,61,139,0.609149,38.797791
iina,sqr,62,139,0.608798,0.111633
iina,sqr,63,139,0.602344,2.213475
iina,sqr,64,139,0.601782,0.459528
iina,sqr,65,139,0.601010,0.155750
iina,sqr,66,136,0.597533,52.705137
iina,sqr,67,138,0.584783,18.781671
iina,sqr,68,146,0.617530,17.708740
iina,sqr,69,139,0.600542,52.952558
iina,sqr,70,150,0.611132,79.061567
iina,sqr,71,130,0.627456,102.675812
iina,sqr,72,150,0.611146,88.010268
iina,sqr,73,153,0.605948,2.410384
