dataset,technique,revision,avgAR,avgMov
pybuilder-loc,sqr,0,0.644878,0.000000
pybuilder-loc,sqr,1,0.628829,21.329498
pybuilder-loc,sqr,2,0.626973,29.489636
pybuilder-loc,sqr,3,0.626973,0.000000
pybuilder-loc,sqr,4,0.624424,0.506494
pybuilder-loc,sqr,5,0.624424,0.000000
pybuilder-loc,sqr,6,0.586414,15.213866
pybuilder-loc,sqr,7,0.586255,0.751684
pybuilder-loc,sqr,8,0.586255,0.000000
pybuilder-loc,sqr,9,0.586255,0.000000
pybuilder-loc,sqr,10,0.586255,0.000000
pybuilder-loc,sqr,11,0.589300,23.640525
pybuilder-loc,sqr,12,0.590669,25.155725
pybuilder-loc,sqr,13,0.582884,5.461569
pybuilder-loc,sqr,14,0.563901,15.936729
pybuilder-loc,sqr,15,0.562377,2.731915
pybuilder-loc,sqr,16,0.532475,21.325258
pybuilder-loc,sqr,17,0.570262,33.227857
pybuilder-loc,sqr,18,0.572332,22.556739
pybuilder-loc,sqr,19,0.552936,26.419183
pybuilder-loc,sqr,20,0.575540,30.058526
pybuilder-loc,sqr,21,0.575668,0.878682
pybuilder-loc,sqr,22,0.582323,158.711750
pybuilder-loc,sqr,23,0.577150,14.462158
pybuilder-loc,sqr,24,0.575241,2.134829
pybuilder-loc,sqr,25,0.573717,5.398418
pybuilder-loc,sqr,26,0.573592,0.078853
pybuilder-loc,sqr,27,0.572824,2.368194
pybuilder-loc,sqr,28,0.559889,11.803895
pybuilder-loc,sqr,29,0.584274,46.674563
pybuilder-loc,sqr,30,0.583152,20.680003
pybuilder-loc,sqr,31,0.583636,0.327703
pybuilder-loc,sqr,32,0.583255,0.195644
pybuilder-loc,sqr,33,0.594861,33.931681
pybuilder-loc,sqr,34,0.593784,0.838316
pybuilder-loc,sqr,35,0.591478,28.653121
pybuilder-loc,sqr,36,0.590115,0.748844
pybuilder-loc,sqr,37,0.577534,26.798208
pybuilder-loc,sqr,38,0.579818,38.790808
pybuilder-loc,sqr,39,0.587262,14.236555
pybuilder-loc,sqr,40,0.585500,0.706992
pybuilder-loc,sqr,41,0.588738,2.269962
pybuilder-loc,sqr,42,0.579380,13.284763
pybuilder-loc,sqr,43,0.579324,0.102630
pybuilder-loc,sqr,44,0.579236,0.155808
pybuilder-loc,sqr,45,0.579419,0.158266
pybuilder-loc,sqr,46,0.605618,11.767719
pybuilder-loc,sqr,47,0.599638,7.606208
pybuilder-loc,sqr,48,0.599714,0.305211
pybuilder-loc,sqr,49,0.599591,0.331757
pybuilder-loc,sqr,50,0.588582,11.498949
pybuilder-loc,sqr,51,0.601106,11.429533
pybuilder-loc,sqr,52,0.601336,0.039417
